content,label
İş fırsatınızı değerlendirmek için kaydolun.,1
Bu e-postayı açarak hesabınızı onaylayın.,1
Gizli takipçiniz sizi görüntüledi.,1
Kazananlar listesine siz de katılın.,1
Yeni sürümdeki hata düzeltmeleri listelendi.,0
Kargo bilgilerinizi doğrulayın.,1
Netflix üyeliğiniz iptal edilecek.,1
Google hesabınız askıya alındı.,1
Şirketimizin misyon ve vizyonuna bu bağlantıdan ulaşabilirsiniz.,0
Hediye puanlarınızı kullanmak için tıklayın.,1
Akademik kaynaklarımıza erişmek için lütfen oturum açın.,0
Ücretsiz eğitimlerimize kayıt olabilirsiniz.,0
Kampanyadan yararlanmak için şimdi tıklayın.,1
Topluluk kurallarına uymak hepimizin sorumluluğudur.,0
Yeni bir görev size atandı.,0
Tebrikler! Ücretsiz akaryakıt kazandınız.,1
Bu güvenli içerik örneği numarası 64.,0
Dijital pazarlama araçlarımızı hemen keşfedin.,0
Kredi notunuzu görüntülemek için tıklayın.,1
Yeni güncellemelerle birlikte gelen özellikleri keşfedin.,0
Bu güvenli içerik örneği numarası 74.,0
Size özel kampanya başladı.,1
Sistem hatası: Bilgilerinizi güncelleyin.,1
Bu içerik yalnızca bilgilendirme amaçlıdır.,0
Şirket duyurularımızı bu bölümden takip edebilirsiniz.,0
Üyelik ayrıcalıklarını görmek için giriş yapın.,1
"Parolanız sıfırlandı, yeni şifreniz için tıklayın.",1
Eğitim içeriklerimize erişmek için giriş yapınız.,0
"Web sitemize hoş geldiniz, güvenliğiniz bizim için önemlidir.",0
"Kargonuz ulaştırılamadı, bilgileri güncelleyin.",1
Kullanıcı panelinize yönlendiriliyorsunuz.,0
"E-postanızı girin, sürpriz hediyenizi kazanın!",1
Profilinize uygun teklif var!,1
"Gizli oturum açıldı, tıklayın.",1
Şifrenizi unuttuysanız sıfırlamak için tıklayın.,0
Sunucu bağlantısı başarıyla kuruldu.,0
Açık kaynak kodlu yazılımlar listemizi inceleyin.,0
Bu güvenli içerik örneği numarası 60.,0
Bu güvenli içerik örneği numarası 61.,0
Bu sayfa güvenli bir HTTPS bağlantısı kullanmaktadır.,0
Sınırlı süreli teklif: Şimdi tıklayın!,1
"Ödeme bilgilerinizde sorun var, düzeltin.",1
Şirket içi e-posta rehberine ulaşmak için tıklayın.,0
Bu güvenli içerik örneği numarası 51.,0
"Bankanız hesabınızı askıya aldı, yeniden giriş yapın.",1
E-devlet şifrenizi yenilemek için bağlantıyı takip edin.,1
"Anketi doldurun, telefon kazanın.",1
SMS doğrulaması gerekli.,1
Bu güvenli içerik örneği numarası 62.,0
Kazançlı yatırım fırsatı için hemen iletişime geçin.,1
İş başvurunuzu değerlendirmeye aldık.,0
Veri analizi hakkında detaylı bilgi bu sayfada yer almaktadır.,0
"Bilgisayarınıza virüs bulaştı, hemen bu programı yükleyin.",1
Kazandığınız ödül sistemde bekliyor.,1
Bu teklif yalnızca size özel!,1
Bu güvenli içerik örneği numarası 52.,0
"Mail kutunuz dolmak üzere, temizleyin.",1
Bildirimlerinizi ayarlardan özelleştirebilirsiniz.,0
"Kişisel verileriniz güvende değil, koruyun.",1
Bu güvenli içerik örneği numarası 65.,0
"Hemen al, sonra öde fırsatını kaçırma.",1
Bu güvenli içerik örneği numarası 73.,0
Resmi müşteri hizmetleri kanalımızdan destek alabilirsiniz.,0
Gizli bir notunuz var.,1
Üyelik koşullarını kabul ederek devam edebilirsiniz.,0
Ücretsiz Premium üyelik fırsatını kaçırmayın.,1
VIP üyeliğiniz aktifleşmedi.,1
Yardım ve destek merkezimize hoş geldiniz.,0
Onay bekleyen işleminiz var.,1
E-posta adresinizi doğrulayarak hesabınızı güvence altına alın.,0
İki faktörlü kimlik doğrulama aktif edilmiştir.,0
Veri gizliliği politikamıza buradan ulaşabilirsiniz.,0
Ücretsiz kargo fırsatı sadece bugüne özel!,1
Sosyal medya girişinizi onaylayın.,1
Bu güvenli içerik örneği numarası 70.,0
Bu güvenli içerik örneği numarası 55.,0
Bu numarayla hediye kazandınız!,1
Bu güvenli içerik örneği numarası 66.,0
Kazanan sizsiniz! 1000 TL'lik hediye kartınızı alın.,1
Müşteri hizmetleriyle iletişime geçin.,1
Bu güvenli içerik örneği numarası 56.,0
Uzaktan eğitim platformumuza hoş geldiniz.,0
Bu sistem siber güvenlik standartlarına uygundur.,0
Sınav sonuçlarınızı sisteme giriş yaparak öğrenebilirsiniz.,0
Parolanızı güçlü ve tahmin edilmesi zor yapmanızı öneririz.,0
Online hizmet için şifre girin.,1
Veritabanı yedeği alındı.,0
Bu güvenli içerik örneği numarası 75.,0
"Spotify hesabınıza giriş yapılamadı, tekrar deneyin.",1
"Acil güvenlik bildirimi, işlem yapın.",1
Kurum içi portalımıza VPN ile erişebilirsiniz.,0
Güvenliğiniz için bilgilerinizi tekrar girin.,1
Yeni yazılım sürümünü buradan indirebilirsiniz.,0
Proje dokümantasyonuna aşağıdaki bağlantıdan ulaşabilirsiniz.,0
